id,chinese,english,pinyin,unit_id,type
139,书,book,shū,4,n
140,对,right,duì,4,adj
141,有的,some,yǒu de,4,pr
142,时候,time,shíhòu,4,n
143,电影,film,diànyǐng,4,n
144,常常,often,chángcháng,4,adv
145,那,in that case,nà,4,conj
146,去,to go,qù,4,v
147,外国,foreign country,wàiguó,4,n
148,请客,to invite someone,qǐng kè,4,vo
149,昨天,yesterday,zuótiān,4,t
150,所以,therefore,suǒyǐ,4,conj
151,小,small,xiǎo,4,adj
152,好久,long time,hǎo jiǔ,4,w
153,好,good,hǎo,4,adv
154,久,long,jiǔ,4,adj
155,不错,not bad,bùcuò,4,adj
156,错,wrong,cuò,4,adj
157,想,to think,xiǎng,4,mv
158,觉得,to feel,juéde,4,v
159,有意思,interesting,yǒu yìsi,4,adj
160,意思,meaning,yìsi,4,n
161,只,only,zhǐ,4,adv
162,睡觉,to sleep,shuìjiào,4,vo
163,睡,to sleep,shuì,4,v
164,觉,bed,jiào,4,n
165,算了,forget it,suàn le,4,w
166,别人,other people,biérén,4,n
167,别的,other,bié de,4,adj
168,看朋友,to see friends,kàn péngyǒu,5,w
169,呀,exclamation,ya,5,p
170,进,to enter,jìn,5,v
171,快,quick,kuài,5,adv / adj
172,进来,to come in,jìnlái,5,vc
173,来,to come,lái,5,v
174,介绍,to introduce,jièshào,5,v
175,一下,once,yíxià,5,n + m
176,高兴,glad,gāoxìng,5,adj
177,漂亮,pretty,piàoliang,5,adj
178,坐,to sit,zuò,5,v
179,在,at,zai,5,prep
180,哪,where,nǎ,5,qpr
181,学校,school,xuéxiào,5,n
182,和,and,hé,5,v
183,咖啡,coffee,kāfēi,5,n
184,吧,bar (place),ba,5,p
185,要,to want,yào,5,v
186,平,peaceful,píng,5,m / n
187,可乐,cola,kělè,5,n
188,可以,can,kěyǐ,5,mv
189,对不起,sorry,duìbuqǐ,5,v
190,给,to give,gěi,5,v
191,杯,cup,bēi,5,m
192,水,water,shuǐ,5,n
193,高小音,Gaoxiao Yin,Gāo Xiǎoyīn,5,name
194,玩,to play,wán,5,v
195,了,completed action,le,5,p
196,图书馆,library,túshūguǎn,5,n
197,一起,together,yīqǐ,5,adv
198,聊天,to chat,liáotiān,5,vo
199,聊,to chat,liáo,5,v
200,天,sky,tiān,5,n
201,才,only,cái,5,adv
202,回家,to return home,huí jiā,5,vo
203,回,to return,huí,5,v
204,给,to,gěi,6,prep
205,打电话,to make a phone call,dǎ diànhuà,6,vo
206,电话,telephone,diànhuà,6,n
207,喂,hello (on phone),wèi,6,interj
208,在,to be at,zài,6,v
209,就,just,jiù,6,adv
210,您,polite you,nín,6,pr
211,位,people,wèi,6,m
212,下午,afternoon,xiàwǔ,6,t
213,时间,time,shíjiān,6,n
214,问题,problem,wèntí,6,n
215,要,to want,yào,6,mv
216,开会,to have a meeting,kāihuì,6,vo
217,开,to open,kāi,6,v
218,会,meeting,huì,6,n
219,上午,morning,shàngwǔ,6,t
220,节,measure word for classes,jié,6,m
221,课,class,kè,6,n
222,年级,grade,niánjí,6,n
223,考试,exam,kǎoshì,6,vo / n
224,考,to test,kǎo,6,v
225,试,exam,shì,6,n / v
226,以后,after,yǐhòu,6,t
227,空,free,kòng,6,n
228,方便,convenient,fāngbiàn,6,adj
229,到,to arrive,dào,6,v
230,办公室,office,bàngōngshì,6,n
231,行,OK,xíng,6,v
232,等,to wait,děng,6,v
233,别,don’t,bié,6,adv
234,客气,polite,kèqì,6,adj
235,常老师,Teacher Chang,Cháng lǎoshī,6,name
236,下个,next,xià gè,6,w
237,下,down,xià,6,w
238,中文,Chinese language,zhōngwén,6,n
239,文,culture,wén,6,n
240,帮,to help,bāng,6,v
241,准备,to prepare,zhǔnbèi,6,v
242,练习,exercise,liànxí,6,v
243,说,to speak,shuō,6,v
244,啊,particle,a,6,p
245,但是,but,dànshì,6,conj
246,得,have to,děi,6,av
247,跟,with,gēn,6,prep
248,见面,to meet,jiànmiàn,6,vo
249,面,face,miàn,6,n
250,回来,to return,huílái,6,vc
251,说话,to speak,shuōhuà,7,vo
252,话,words,huà,7,n
253,上个,previous,shàng gè,7,w
254,得,structural particle,de,7,p
255,复习,to review,fùxí,7,v
256,写,to write,xiě,7,v
257,字,character,zì,7,n
258,慢,slow,màn,7,adj
259,支,measure word (for pens),zhī,7,m
260,笔,pen,bǐ,7,n
261,张,measure word (for flat objects),zhāng,7,m
262,纸,paper,zhǐ,7,n
263,教,to teach,jiāo,7,v
264,怎么,how,zěnme,7,qpr
265,懂,to understand,dǒng,7,v
266,真,really,zhēn,7,adv
267,哪里,where,nǎlǐ,7,pr
268,预习,to preview,yùxí,7,v
269,学,to study,xué,7,v
270,第,ordinal number prefix,dì,7,prefix
271,语法,grammar,yǔfǎ,7,n
272,容易,easy,róngyì,7,adj
273,生词,new word,shēngcí,7,n
274,多,many,duō,7,adj
275,汉字,Chinese character,hànzì,7,n
276,难,difficult,nán,7,adj
277,平常,usually,píngcháng,7,adv
278,早,early,zǎo,7,adj
279,这么,so,zhème,7,pr
280,晚,late,wǎn,7,adj
281,早上,morning,zǎoshang,7,t
282,功课,homework,gōngkè,7,n
283,大家,everyone,dàjiā,7,pr
284,上课,to attend class,shàngkè,7,vo
285,开始,to begin,kāishǐ,7,v / n
286,念,to read aloud,niàn,7,v
287,课文,text,kèwén,7,n
288,录音,recording,lùyīn,7,n / vo
289,学习,to study,xuéxí,7,v
290,帅,handsome,shuài,7,adj
291,酷,cool,kù,7,adj
292,铅笔,pencil,qiānbǐ,7,n
293,圆珠笔,ballpoint pen,yuánzhūbǐ,7,n
294,本子,notebook,běnzi,7,n
295,课本,textbook,kèběn,7,n
296,字典,dictionary,zìdiǎn,7,n
297,篇,essay,piān,8,m
298,日记,diary,rìjì,8,n
299,累,tired,lèi,8,adj
300,起床,to get up,qǐchuáng,8,vo
301,床,bed,chuáng,8,n
302,洗澡,to take a shower,xǐzǎo,8,vo
303,早饭,breakfast,zǎofàn,8,n
304,一边,while doing something,yībiān,8,adv
305,教室,classroom,jiàoshì,8,n
306,发音,pronunciation,fāyīn,8,n
307,新,new,xīn,8,adj
308,电脑,computer,diànnǎo,8,n
309,脑,brain,nǎo,8,n
310,中午,noon,zhōngwǔ,8,n
311,餐厅,restaurant,cāntīng,8,n
312,午饭,lunch,wǔfàn,8,n
313,上网,to go online,shàng wǎng,8,vo
314,宿舍,dormitory,sùshè,8,n
315,哪,there,nǎ,8,pr
316,正在,currently,zhèngzài,8,adv
317,以前,before,yǐqián,8,t
318,告诉,to tell,gàosù,8,v
319,已经,already,yǐjīng,8,adv
320,知道,to know,zhīdào,8,v
321,封,measure word for letters,fēng,8,m
322,信,letter,xìn,8,n
323,最近,recently,zuìjìn,8,t
324,最,most,zuì,8,adv
325,近,near,jìn,8,adj
326,学期,semester,xuéqī,8,n
327,除了...以外,except for,chúle... yǐwài,8,conj
328,专业,major,zhūānyè,8,n
329,会,meeting,huì,8,av
330,后来,later,hòulái,8,t
331,音乐会,concert,yīnyuèhuì,8,n
332,希望,to hope,xīwàng,8,v / n
333,能,can,néng,8,av
334,用,to use,yòng,8,v
335,笑,to smile,xiào,8,v
336,祝,to wish,zhù,8,v
337,商店,store,shāngdiàn,9,n
338,买,to buy,mǎi,9,v
339,东西,thing,dōngxi,9,n
340,售货员,salesperson,shòuhuòyuán,9,n
341,衣服,clothes,yīfú,9,n
342,件,measure word for clothes,jiàn,9,m
343,衬衫,shirt,chènshān,9,n
344,颜色,color,yánsè,9,n
345,黄,yellow,huáng,9,adj
346,红,red,hóng,9,adj
347,穿,to wear,chuān,9,v
348,条,measure word for pants,tiáo,9,m
349,裤子,pants,kùzi,9,n
350,号,size,hào,9,n
351,中,medium,zhōng,9,adj
352,便宜,cheap,piányí,9,adj
353,如果...的话,if...then,rúguǒ... de huà,9,conj
354,长短,length,chángduǎn,9,n
355,长,long,cháng,9,adj
356,短,short,duǎn,9,adj
357,合适,suitable,héshì,9,adj
358,试,to try,shì,9,v
359,不用,no need,bùyòng,9,w
360,一共,total,yígòng,9,adv
361,多少,how much,duōshao,9,qpr
362,钱,money,qián,9,n
363,块,yuan (measure word for money),kuài,9,m
364,毛,mao (measure word for money),máo,9,m
365,分,cent,fēn,9,m
366,百,hundred,bǎi,9,nu
367,找,to give change,zhǎo,9,vo
368,双,pair,shuāng,9,m
369,鞋,shoes,xié,9,n
370,换,to exchange,huàn,9,v
371,一样,the same,yīyàng,9,adj
372,虽然,although,suīrán,9,conj
373,大小,size,dàxiǎo,9,n
374,咖啡色,coffee color,kāfēisè,9,n
375,种,type,zhǒng,9,m
376,黑,black,hēi,9,adj
377,样子,appearance,yàngzi,9,n
378,挺,quite,tǐng,9,adv
379,它,it,tā,9,pr
380,这儿,here,zhèr,9,pr
381,刷卡,to swipe a card,shuā kǎ,9,vo
382,刷,to swipe,shuā,9,v
383,卡,card,kǎ,9,n
384,收,to receive,shōu,9,v
385,信用卡,credit card,xìnyòngkǎ,9,n
386,不过,but,bùguò,9,conj
387,再,again,zài,9,adv
388,付钱,to pay,fu qián,9,vo
389,付,to pay,fù,9,v
390,蓝色,blue,lánsè,9,n
391,绿色,green,lǜsè,9,n
392,紫色,purple,zǐsè,9,n
393,粉红色,pink,fěnhóngsè,9,n
394,桔红色,orange,jué hóng sè,9,n
395,灰色,gray,huīsè,9,n
396,上衣,top,shàngyī,9,n
397,大衣,overcoat,dàyī,9,n
398,毛衣,sweater,máoyī,9,n
399,裙子,skirt,qúnzi,9,n
400,夹克,jacket,jiákè,9,n
401,外套,coat,wàitào,9,n
402,西装,suit,xīzhuāng,9,n
403,T恤衫,T-shirt,T xù shān,9,n
404,帽子,hat,màozi,9,n
405,袜子,socks,wàzi,9,n
406,交通,traffic,jiāotōng,10,w
407,寒假,winter vacation,hánjià,10,n
408,飞机,airplane,fēijī,10,n
409,飞,to fly,fēi,10,v
410,机票,plane ticket,jīpiào,10,n
411,机场,airport,jīchǎng,10,n
412,坐,to travel by,zuò,10,v
413,公共汽车,bus,gōnggòng qìchē,10,n
414,公共,public,gōnggòng,10,adj
415,汽车,car,qìchē,10,n
416,车,vehicle,chē,10,n
417,或者,or,huòzhě,10,conj
418,地铁,subway,dìtiě,10,n
419,走,to walk,zǒu,10,v
420,先,first,xiān,10,adv
421,下车,to get off,xià chē,10,v
422,然后,then,ránhòu,10,adv
423,绿,green,lǜ,10,adj
424,线,line,xiàn,10,n
425,最后,last,zuìhòu,10,w
426,打车,to take a taxi,dǎ chē,10,vo
427,出租汽车,taxi,chūzū qìchē,10,n
428,出租,to rent,chūzū,10,v
429,租,to rent,zū,10,v
430,开车,to drive,kāichē,10,vo
431,开,to drive,kāi,10,v
432,送,to send,sòng,10,v
433,电子邮件,email,diànzǐ yóujiàn,10,n
434,电子,electronic,diànzǐ,10,n
435,让,to let,ràng,10,v
436,花,to spend,huā,10,v
437,不好意思,excuse me,bù hǎo yìsi,10,w
438,每,every,měi,10,pr
439,城市,city,chéngshì,10,n
440,特别,especially,tèbié,10,adv
441,高速公路,highway,gāosù gōnglù,10,n
442,高速,high speed,gāosù,10,adj
443,公路,road,gōnglù,10,n
444,路,road,lù,10,n
445,紧张,nervous,jǐnzhāng,10,adj
446,自己,self,zìjǐ,10,pr
447,手机,cell phone,shǒujī,10,n
448,发短信,to send a text message,fā duǎnxìn,10,vo
449,新年,New Year,xīnnián,10,n
450,快乐,happy,kuàilè,10,adj
451,谈天气,Talking about weather,tán tiānqì,11,vo
452,天气,weather,tiānqì,11,n
453,比,compare,bǐ,11,prep / v
454,下雪,to snow,xià xuě,11,vo
455,约,to make an appointment,yuē,11,v
456,公园,park,gōngyuán,11,n
457,滑冰,to ice skate,huá bīng,11,vo
458,会,will,huì,11,mv
459,刚才,just now,gāngcái,11,t
460,网上,online,wǎng shàng,11,w
461,预报,to forecast,yùbào,11,v
462,更,even more,gèng,11,adv
463,"不但..., 而且...","not only..., but also...","bùdàn..., érqiě...",11,conj
464,暖和,warm,nuǎnhuo,11,adj
465,冷,cold,lěng,11,adj
466,办,to handle,bàn,11,v
467,碟,disc,dié,11,n
468,那么,so,nàme,11,pr
469,好玩,fun,hǎowán,11,adj
470,出去,to go out,chūqù,11,vc
471,非常,extremely,fēicháng,11,adv
472,糟糕,terrible,zāogāo,11,adj
473,下雨,to rain,xià yǔ,11,vo
474,又,again,yòu,11,adv
475,面试,interview,miànshì,11,v / n
476,回去,to go back,huíqù,11,vc
477,冬天,winter,dōngtiān,11,n
478,夏天,summer,xiàtiān,11,n
479,热,hot,rè,11,adj
480,春天,spring,chūntiān,11,n
481,秋天,autumn,qiūtiān,11,n
482,舒服,comfortable,shūfu,11,adj
483,加州,California,jiāzhōu,11,w
484,吃饭,to have a meal,chī fàn,12,w
485,饭馆,restaurant,fànguǎn,12,n
486,好像,to seem,hǎoxiàng,12,v
487,位子,seat,wèizi,12,n
488,服务员,waiter,fúwùyuán,12,n
489,服务,to serve,fúwù,12,v
490,桌子,table,zhuōzi,12,n
491,点菜,to order food,diǎn cài,12,vo
492,盘,plate,pán,12,n
493,饺子,dumpling,jiǎozi,12,n
494,素,vegetarian,sù,12,adj
495,家常,home-style,jiācháng,12,n
496,豆腐,tofu,dòufu,12,n
497,放,to put,fàng,12,v
498,肉,meat,ròu,12,n
499,碗,bowl,wǎn,12,n
500,酸辣汤,hot and sour soup,suān là tāng,12,n
501,酸,sour,suān,12,adj
502,辣,spicy,là,12,adj
503,汤,soup,tāng,12,n
504,味精,monosodium glutamate,wèijīng,12,n
505,盐,salt,yán,12,n
506,白菜,bok choy,báicài,12,n
507,刚,just,gāng,12,adv
508,卖完,to be sold out,mài wán,12,vc
509,完,to finish,wán,12,c
510,青菜,green vegetables,qīngcài,12,n
511,冰茶,iced tea,bīng chá,12,n
512,冰,ice,bīng,12,n
513,渴,thirsty,kě,12,adj
514,些,some,xiē,12,m
515,够,enough,gòu,12,adj
516,饿,hungry,è,12,adj
517,上菜,to serve food,shàng cài,12,vo
518,师傅,master worker,shīfu,12,n
519,好吃,delicious,hǎochī,12,adj
520,糖醋鱼,sweet and sour fish,táng cù yú,12,n
521,糖,sugar,táng,12,n
522,醋,vinegar,cù,12,n
523,甜,sweet,tián,12,adj
524,酸,sour,suān,12,adj
525,极,extremely,jí,12,adv
526,红烧,braised in soy sauce,hóng shāo,12,v
527,牛肉,beef,niú ròu,12,n
528,牛,cow,niú,12,n
529,鱼,fish,yú,12,n
530,凉拌,cold blended,liángbàn,12,v
531,黄瓜,cucumber,huángguā,12,n
532,米饭,cooked rice,mǐfàn,12,n
533,忘,to forget,wàng,12,v
534,带,to bring,dài,12,v
535,饭卡,meal card,fànkǎ,12,n
536,错,wrong,cuò,12,adj
537,清楚,clear,qīngchu,12,adj
538,没关系,it doesn't matter,méi guānxi,12,w
539,上海,Shanghai,Shànghǎi,12,n
540,问路,to ask for directions,wèn lù,13,w
541,上,to go,shàng,13,v
542,中心,center,zhōngxīn,13,n
543,听说,to hear of,tīngshuō,13,v
544,运动,sports,yùndòng,13,n
545,场,field,chǎng,13,n
546,旁边,side,pángbiān,13,n
547,远,far,yuǎn,13,adj
548,离,away from,lí,13,prep
549,近,near,jìn,13,adj
550,活动,activity,huódòng,13,n
551,中间,middle,zhōngjiān,13,n
552,书店,bookstore,shūdiàn,13,n
553,地方,place,dìfāng,13,n
554,里边,inside,lǐbiān,13,n
555,过,(past experience),guò,13,p
556,中国城,Chinatown,zhōngguó chéng,13,n
557,城,city,chéng,13,n
558,地图,map,dìtú,13,n
559,拿,to take,ná,13,v
560,次,time,cì,13,m
561,从,from,cóng,13,prep
562,一直,straight,yìzhí,13,adv
563,往,toward,wǎng,13,prep
564,南,south,nán,13,n
565,过,to cross,guò,13,v
566,路口,intersection,lùkǒu,13,n
567,西,west,xī,13,n
568,拐,to turn,guǎi,13,v
569,哎,(suprised),āi,13,exlc
570,东,east,dōng,13,n
571,北,north,běi,13,n
572,前,forward,qián,13,n
573,红绿灯,traffic light,hónglǜdēng,13,n
574,灯,light,dēng,13,n
575,右,right,yòu,13,n
576,左,left,zuǒ,13,n
577,前面,in front,qiánmiàn,13,n
578,日文,Japanese language,rìwén,13,n
579,东京,Tokyo,dōngjīng,13,n
580,日本,Japan,rìběn,13,n
581,生日晚会,birthday party,shēngrì wǎnhuì,14,w
582,舞会,dance party,wǔhuì,14,n
583,表姐,older female cousin,biǎojiě,14,n
584,中学,middle school,zhōngxué,14,n
585,送,to give as a gift,sòng,14,v
586,礼物,gift,lǐwù,14,n
587,本,measure word for books,běn,14,m
588,饮料,beverage,yǐnliào,14,n
589,水果,fruit,shuǐguǒ,14,n
590,把,measure word for bunches of things,bǎ,14,m
591,花,flower,huā,14,n
592,爱,to love,ài,14,v
593,苹果,apple,píngguǒ,14,n
594,梨,pear,lí,14,n
595,西瓜,watermelon,xīguā,14,n
596,住,to live,zhù,14,v
597,重,heavy,zhòng,14,adj
598,楼,"floor, building",lóu,14,n
599,王红,personal name,Wáng Hóng,14,name
600,钟头,hour,zhōngtóu,14,n
601,以为,to assume incorrectly,yǐwéi,14,v
602,聪明,smart,cōngmíng,14,adj
603,用功,hardworking,yònggōng,14,adj
604,暑期,summer term,shǔqī,14,n
605,班,class,bān,14,n
606,长,to grow,zhǎng,14,v
607,可爱,cute,kě'ài,14,adj
608,去年,last year,qùnián,14,t
609,属,to belong to (zodiac),shǔ,14,v
610,狗,dog,gǒu,14,n
611,脸,face,liǎn,14,n
612,圆,round,yuán,14,adj
613,眼睛,eyes,yǎnjing,14,n
614,鼻子,nose,bízi,14,n
615,嘴,mouth,zuǐ,14,n
616,像,to be like,xiàng,14,v
617,长大,to grow up,zhǎngdà,14,vc
618,一定,certainly,yídìng,14,adj / adv
619,蛋糕,cake,dàngāo,14,n
620,最,most,zuì,14,adv
621,海伦,personal name,Hǎilún,14,name
622,汤姆,personal name,Tāngmǔ,14,name
623,看病,to see a doctor,kànbìng,15,vo
624,病人,patient,bìngrén,15,n
625,病,illness,bìng,15,n / v
626,医院,hospital,yīyuàn,15,n
627,肚子,stomach,dùzi,15,n
628,疼死,really painful,téng sǐ,15,adj + c
629,疼,to ache,téng,15,adj
630,死,to die,sǐ,15,v / c
631,夜里,at night,yèlǐ,15,n
632,好几,quite a few,hǎojǐ,15,prase
633,厕所,restroom,cèsuǒ,15,n
634,把,indicating disposal,bǎ,15,prep
635,冰箱,refrigerator,bīngxiāng,15,n
636,发烧,to have a fever,fāshāo,15,vo
637,躺下,to lie down,tǎngxià,15,vc
638,躺,to lie,tǎng,15,v
639,检查,to examine,jiǎnchá,15,v
640,吃坏,to get sick because of bad food,chī huài,15,vc
641,坏,bad,huài,15,adj
642,打针,to get a shot,dǎzhēn,15,vo
643,针,needle,zhēn,15,n
644,药,medicine,yào,15,n
645,片,measure word for tablets,piàn,15,m
646,遍,measure word for complete actions,biàn,15,m
647,最好,had better,zuìhǎo,15,adv
648,小时,hour,xiǎoshí,15,n
649,办法,method,bànfǎ,15,n
650,感冒,to have a cold,gǎnmào,15,v
651,伤病,illness,shāngbìng,15,vo
652,身体,body,shēntǐ,15,n
653,痒,itchy,yǎng,15,adj
654,过敏,allergy,guòmǐn,15,v
655,药店,pharmacy,yàodiàn,15,n
656,健康,healthy,jiànkāng,15,adj / n
657,保险,insurance,bǎoxiǎn,15,n
658,赶快,right away,gǎnkuài,15,adv
659,要不然,otherwise,yàobùrán,15,conj
660,越来越,more and more,yuèláiyuè,15,adv
661,上次,last time,shàngcì,15,adv
662,休息,to rest,xiūxí,15,v
663,懒,lazy,lǎn,15,adj
664,再说,moreover,zàishuō,15,conj
665,乱,randomly,luàn,15,adv
666,约会,date,yuēhuì,16,w
667,同,same,tóng,16,adj
668,印象,impression,yìnxiàng,16,n
669,成,to become,chéng,16,v
670,演,to perform,yǎn,16,v
671,费,to spend,fèi,16,v
672,力气,strength,lìqi,16,n
673,就,small number,jiù,16,adv
674,俩,two,liǎ,16,nu + m
675,后天,the day after tomorrow,hòutiān,16,t
676,一言为定,that settles it,yī yán wéi dìng,16,prase
677,记得,to remember,jìde,16,v
678,想起来,to recall,xiǎng qǐlái,16,vc
679,号码,number,hàomǎ,16,n
680,搬,to move,bān,16,v
681,打扫,to clean up,dǎsǎo,16,v
682,扫,to sweep,sǎo,16,v
683,整理,to tidy up,zhěnglǐ,16,v
684,房间,room,fángjiān,16,n
685,旅行,to travel,lǚxíng,16,v
686,电,electricity,diàn,16,n
687,租房子,to rent a house,zū fángzi,17,w
688,吵,noisy,chǎo,17,v / adj
689,连,even,lián,17,prep
690,做饭,to cook,zuòfàn,17,vo
691,报纸,newspaper,bàozhǐ,17,n
692,广告,advertisement,guǎnggào,17,n
693,附近,nearby,fùjìn,17,n
694,套,(set),tào,17,m
695,公寓,apartment,gōngyù,17,n
696,出租,to rent out,chūzū,17,v
697,走路,to walk,zǒulù,17,vo
698,分钟,minute,fēnzhōng,17,n
699,厨房,kitchen,chúfáng,17,n
700,卫生间,bathroom,wèishēngjiān,17,n
701,客厅,living room,kètīng,17,n
702,家具,furniture,jiājù,17,n
703,可能,possibly,kěnéng,17,mv / adj
704,一房一厅,one bedroom and one living room,yì fáng yì tīng,17,prase
705,干净,clean,gānjìng,17,adj
706,沙发,sofa,shāfā,17,n
707,饭桌,dining table,fànzhuō,17,n
708,椅子,chair,yǐzi,17,n
709,书桌,desk,shūzhuō,17,n
710,书架,bookshelf,shūjià,17,n
711,哪里,there,nǎlǐ,17,pr
712,安静,quiet,ānjìng,17,adj
713,房租,rent,fángzū,17,n
714,元,Chinese currency,yuán,17,m
715,美元,US dollar,měiyuán,17,n
716,人民币,Chinese yuan,rénmínbì,17,n
717,人民,people,rénmín,17,n
718,币,currency,bì,17,n
719,差不多,almost,chàbuduō,17,adv / adj
720,费,fee,fèi,17,n
721,押金,deposit,yājīn,17,n
722,当,to serve as,dāng,17,v
723,还,to return,huán,17,v
724,另外,in addition,lìngwài,17,conj
725,准,to allow,zhǔn,17,v
726,养,to raise,yǎng,17,v
727,宠物,pet,chǒngwù,17,n
728,兴趣,interest,xìngqù,17,n
729,灯,light,dēng,17,n
730,运动,sports,yùndòng,18,w
731,当然,of course,dāngrán,18,adv
732,胖,fat,pàng,18,adj
733,怕,to fear,pà,18,v
734,简单,simple,jiǎndān,18,adj
735,跑步,to jog,pǎobù,18,vo
736,跑,to run,pǎo,18,v
737,难受,uncomfortable,nánshòu,18,adj
738,网球,tennis,wǎngqiú,18,n
739,拍,racket,pāi,18,n
740,篮球,basketball,lánqiú,18,n
741,游泳,to swim,yóuyǒng,18,vo
742,危险,dangerous,wēixiǎn,18,adj
743,淹死,to drown,yānsǐ,18,vc
744,愿意,to be willing,yuànyì,18,av
745,上大学,to attend college,shàng dàxué,18,vo
746,为了,for the sake of,wèile,18,prep
747,提高,to improve,tígāo,18,v
